Starting index build with R: 64  Lbuild: 100  alpha: 1.2  #threads: 48
L2: Using AVX2 distance computation DistanceL2Float
Using only first 1010812 from file.. 
Starting index build with 1010812 points... 
0% of index build completed.9.89304% of index build completed.19.7861% of index build completed.29.6791% of index build completed.39.5721% of index build completed.49.4652% of index build completed.59.3582% of index build completed.69.2513% of index build completed.79.1443% of index build completed.89.0373% of index build completed.98.9304% of index build completed.Starting final cleanup..done. Link time: 101.677s
Total number of clusters: 134671
Cluster Sizes:
Cluster ID: 401083, Size: 1
Cluster ID: 399060, Size: 1
Cluster ID: 395540, Size: 1
Cluster ID: 402553, Size: 2
Cluster ID: 392568, Size: 1
Cluster ID: 392229, Size: 2
Cluster ID: 391059, Size: 1
Cluster ID: 389046, Size: 1
Cluster ID: 397616, Size: 1
Cluster ID: 390559, Size: 2
Cluster ID: 385458, Size: 1
Cluster ID: 383176, Size: 1
Cluster ID: 381307, Size: 1
Cluster ID: 376874, Size: 1
Cluster ID: 412970, Size: 2
Cluster ID: 400433, Size: 1
Cluster ID: 397400, Size: 1
Cluster ID: 396502, Size: 1
Cluster ID: 395012, Size: 2
Cluster ID: 394862, Size: 1
Cluster ID: 397438, Size: 1
Cluster ID: 403018, Size: 2
Cluster ID: 388556, Size: 1
Cluster ID: 397082, Size: 2
Cluster ID: 387570, Size: 1
Cluster ID: 384168, Size: 1
Cluster ID: 381290, Size: 1
Cluster ID: 378903, Size: 1
Cluster ID: 393460, Size: 1
Cluster ID: 377982, Size: 1
Cluster ID: 389506, Size: 1
Cluster ID: 412625, Size: 2
Cluster ID: 403642, Size: 1
Cluster ID: 398828, Size: 1
Cluster ID: 397905, Size: 1
Cluster ID: 397236, Size: 1
Cluster ID: 391880, Size: 1
Cluster ID: 390522, Size: 1
Cluster ID: 399103, Size: 1
Cluster ID: 388193, Size: 1
Cluster ID: 388131, Size: 1
Cluster ID: 400473, Size: 1
Cluster ID: 389021, Size: 1
Cluster ID: 384784, Size: 1
Cluster ID: 380429, Size: 1
Cluster ID: 412240, Size: 2
Cluster ID: 412164, Size: 2
Cluster ID: 408920, Size: 1
Cluster ID: 411506, Size: 1
Cluster ID: 400574, Size: 1
Cluster ID: 400212, Size: 1
Cluster ID: 395480, Size: 1
Cluster ID: 390215, Size: 1
Cluster ID: 388930, Size: 1
Cluster ID: 388857, Size: 1
Cluster ID: 388559, Size: 1
Cluster ID: 385329, Size: 1
Cluster ID: 382744, Size: 1
Cluster ID: 381529, Size: 1
Cluster ID: 380104, Size: 1
Cluster ID: 378478, Size: 1
Cluster ID: 377622, Size: 1
Cluster ID: 409937, Size: 2
Cluster ID: 409708, Size: 2
Cluster ID: 401949, Size: 1
Cluster ID: 401608, Size: 1
Cluster ID: 394868, Size: 1
Cluster ID: 394347, Size: 1
Cluster ID: 393898, Size: 1
Cluster ID: 392838, Size: 1
Cluster ID: 392363, Size: 1
Cluster ID: 391065, Size: 1
Cluster ID: 389012, Size: 2
Cluster ID: 393922, Size: 2
Cluster ID: 387228, Size: 1
Cluster ID: 386456, Size: 1
Cluster ID: 385668, Size: 1
Cluster ID: 414097, Size: 3
Cluster ID: 407139, Size: 2
Cluster ID: 406095, Size: 2
Cluster ID: 410874, Size: 2
Cluster ID: 398209, Size: 1
Cluster ID: 404127, Size: 1
Cluster ID: 393639, Size: 1
Cluster ID: 392777, Size: 1
Cluster ID: 396923, Size: 1
Cluster ID: 390562, Size: 1
Cluster ID: 389723, Size: 1
Cluster ID: 389658, Size: 1
Cluster ID: 389347, Size: 1
Cluster ID: 401236, Size: 2
Cluster ID: 387127, Size: 1
Cluster ID: 385632, Size: 1
Cluster ID: 399572, Size: 2
Cluster ID: 382909, Size: 1
Cluster ID: 386630, Size: 2
Cluster ID: 381759, Size: 1
Cluster ID: 383677, Size: 2
Cluster ID: 383540, Size: 2
Cluster ID: 379308, Size: 1
Cluster ID: 381271, Size: 1
Cluster ID: 375126, Size: 1
Cluster ID: 412859, Size: 2
Cluster ID: 405771, Size: 2
Cluster ID: 402103, Size: 1
Cluster ID: 395017, Size: 2
Cluster ID: 394777, Size: 2
Cluster ID: 397665, Size: 2
Cluster ID: 387514, Size: 1
Cluster ID: 385515, Size: 1
Cluster ID: 384024, Size: 1
Cluster ID: 382520, Size: 1
Cluster ID: 404294, Size: 3
Cluster ID: 377734, Size: 1
Cluster ID: 377620, Size: 1
Cluster ID: 377515, Size: 1
Cluster ID: 377156, Size: 1
Cluster ID: 375580, Size: 1
Cluster ID: 409178, Size: 1
Cluster ID: 403503, Size: 1
Cluster ID: 402584, Size: 1
Cluster ID: 402501, Size: 1
Cluster ID: 407489, Size: 1
Cluster ID: 399505, Size: 2
Cluster ID: 398483, Size: 2
Cluster ID: 398153, Size: 1
Cluster ID: 395240, Size: 1
Cluster ID: 394900, Size: 1
Cluster ID: 393632, Size: 1
Cluster ID: 392030, Size: 1
Cluster ID: 391915, Size: 1
Cluster ID: 388747, Size: 1
Cluster ID: 387934, Size: 1
Cluster ID: 386931, Size: 1
Cluster ID: 389567, Size: 1
Cluster ID: 384573, Size: 1
Cluster ID: 383413, Size: 1
Cluster ID: 387180, Size: 2
Cluster ID: 384038, Size: 1
Cluster ID: 381384, Size: 1
Cluster ID: 378684, Size: 1
Cluster ID: 377058, Size: 1
Cluster ID: 379979, Size: 1
Cluster ID: 403821, Size: 1
Cluster ID: 393754, Size: 1
Cluster ID: 373774, Size: 1
Cluster ID: 373541, Size: 1
Cluster ID: 412200, Size: 2
Cluster ID: 411368, Size: 2
Cluster ID: 404618, Size: 1
Cluster ID: 403144, Size: 1
Cluster ID: 401700, Size: 2
Cluster ID: 402234, Size: 3
Cluster ID: 398722, Size: 1
Cluster ID: 395094, Size: 1
Cluster ID: 412493, Size: 1
Cluster ID: 390181, Size: 1
Cluster ID: 389928, Size: 1
Cluster ID: 393232, Size: 1
Cluster ID: 386875, Size: 1
Cluster ID: 386748, Size: 2
Cluster ID: 381918, Size: 1
Cluster ID: 379019, Size: 1
Cluster ID: 378482, Size: 1
Cluster ID: 376562, Size: 1
Cluster ID: 375398, Size: 1
Cluster ID: 374749, Size: 1
Cluster ID: 412716, Size: 3
Cluster ID: 411242, Size: 2
Cluster ID: 400368, Size: 1
Cluster ID: 394871, Size: 1
Cluster ID: 393266, Size: 1
Cluster ID: 391175, Size: 1
Cluster ID: 390749, Size: 1
Cluster ID: 390176, Size: 1
Cluster ID: 386307, Size: 1
Cluster ID: 385234, Size: 2
Cluster ID: 384435, Size: 1
Cluster ID: 384427, Size: 1
Cluster ID: 389412, Size: 1
Cluster ID: 382261, Size: 1
Cluster ID: 381715, Size: 1
Cluster ID: 379534, Size: 1
Cluster ID: 378617, Size: 1
Cluster ID: 384994, Size: 2
Cluster ID: 378214, Size: 1
Cluster ID: 374577, Size: 1
Cluster ID: 373130, Size: 1
Cluster ID: 372722, Size: 1
Cluster ID: 408165, Size: 1
Cluster ID: 406274, Size: 1
Cluster ID: 401721, Size: 2
Cluster ID: 407845, Size: 1
Cluster ID: 400784, Size: 1
Cluster ID: 398791, Size: 2
Cluster ID: 397053, Size: 2
Cluster ID: 398234, Size: 1
Cluster ID: 390830, Size: 1
Cluster ID: 400316, Size: 1
Cluster ID: 388735, Size: 1
Cluster ID: 386389, Size: 1
Cluster ID: 386580, Size: 1
Cluster ID: 384253, Size: 1
Cluster ID: 384125, Size: 1
Cluster ID: 384091, Size: 1
Cluster ID: 387022, Size: 1
Cluster ID: 397927, Size: 2
Cluster ID: 375918, Size: 1
Cluster ID: 375317, Size: 1
Cluster ID: 372703, Size: 1
Cluster ID: 374078, Size: 1
Cluster ID: 411201, Size: 1
Cluster ID: 409924, Size: 3
Cluster ID: 403576, Size: 2
Cluster ID: 396733, Size: 1
Cluster ID: 404223, Size: 3
Cluster ID: 391819, Size: 1
Cluster ID: 391677, Size: 1
Cluster ID: 385623, Size: 1
Cluster ID: 385335, Size: 1
Cluster ID: 381303, Size: 1
Cluster ID: 381095, Size: 1
Cluster ID: 403216, Size: 1
Cluster ID: 379598, Size: 1
Cluster ID: 376472, Size: 1
Cluster ID: 377247, Size: 1
Cluster ID: 373252, Size: 1
Cluster ID: 372962, Size: 1
Cluster ID: 413865, Size: 39
Cluster ID: 409279, Size: 1
Cluster ID: 406717, Size: 2
Cluster ID: 409583, Size: 3
Cluster ID: 409040, Size: 2
Cluster ID: 404471, Size: 1
Cluster ID: 403924, Size: 3
Cluster ID: 414863, Size: 2
Cluster ID: 402772, Size: 1
Cluster ID: 400895, Size: 2
Cluster ID: 396043, Size: 2
Cluster ID: 390388, Size: 2
Cluster ID: 385752, Size: 1
Cluster ID: 392881, Size: 1
Cluster ID: 393439, Size: 2
Cluster ID: 379722, Size: 1
Cluster ID: 379468, Size: 1
Cluster ID: 379327, Size: 1
Cluster ID: 414919, Size: 2
Cluster ID: 378378, Size: 1
Cluster ID: 376934, Size: 1
Cluster ID: 376642, Size: 1
Cluster ID: 374189, Size: 1
Cluster ID: 373852, Size: 1
Cluster ID: 372971, Size: 1
Cluster ID: 372919, Size: 1
Cluster ID: 412450, Size: 2
Cluster ID: 409047, Size: 1
Cluster ID: 403841, Size: 2
Cluster ID: 402652, Size: 2
Cluster ID: 400582, Size: 1
Cluster ID: 400504, Size: 2
Cluster ID: 401037, Size: 2
Cluster ID: 399415, Size: 2
Cluster ID: 399780, Size: 1
Cluster ID: 394159, Size: 1
Cluster ID: 396246, Size: 2
Cluster ID: 403706, Size: 1
Cluster ID: 392151, Size: 1
Cluster ID: 389728, Size: 2
Cluster ID: 388761, Size: 2
Cluster ID: 381148, Size: 1
Cluster ID: 380456, Size: 1
Cluster ID: 378324, Size: 1
Cluster ID: 378169, Size: 1
Cluster ID: 385829, Size: 1
Cluster ID: 376316, Size: 1
Cluster ID: 379315, Size: 1
Cluster ID: 374912, Size: 1
Cluster ID: 372869, Size: 1
Cluster ID: 371592, Size: 1
Cluster ID: 371441, Size: 1
Cluster ID: 371189, Size: 1
Cluster ID: 371020, Size: 1
Cluster ID: 413448, Size: 2
Cluster ID: 413382, Size: 2
Cluster ID: 402642, Size: 1
Cluster ID: 401202, Size: 1
Cluster ID: 398055, Size: 1
Cluster ID: 402523, Size: 2
Cluster ID: 396883, Size: 1
Cluster ID: 395888, Size: 1
Cluster ID: 394041, Size: 1
Cluster ID: 387897, Size: 1
Cluster ID: 403283, Size: 1
Cluster ID: 387418, Size: 2
Cluster ID: 386379, Size: 1
Cluster ID: 412741, Size: 5
Cluster ID: 382596, Size: 1
Cluster ID: 382229, Size: 1
Cluster ID: 389229, Size: 3
Cluster ID: 396554, Size: 2
Cluster ID: 389501, Size: 3
Cluster ID: 377888, Size: 1
Cluster ID: 377794, Size: 1
Cluster ID: 374154, Size: 1
Cluster ID: 396089, Size: 1
Cluster ID: 372901, Size: 1
Cluster ID: 373888, Size: 1
Cluster ID: 411304, Size: 2
Cluster ID: 409915, Size: 1
Cluster ID: 413384, Size: 2
Cluster ID: 405378, Size: 1
Cluster ID: 403635, Size: 1
Cluster ID: 402964, Size: 2
Cluster ID: 402049, Size: 2
Cluster ID: 403081, Size: 1
Cluster ID: 400565, Size: 1
Cluster ID: 400330, Size: 1
Cluster ID: 397201, Size: 1
Cluster ID: 393283, Size: 1
Cluster ID: 384695, Size: 1
Cluster ID: 383536, Size: 2
Cluster ID: 383084, Size: 1
Cluster ID: 382539, Size: 1
Cluster ID: 382340, Size: 1
Cluster ID: 379379, Size: 1
Cluster ID: 382976, Size: 1
Cluster ID: 399598, Size: 3
Cluster ID: 395025, Size: 1
Cluster ID: 377030, Size: 1
Cluster ID: 376035, Size: 1
Cluster ID: 373283, Size: 1
Cluster ID: 371849, Size: 1
Cluster ID: 375424, Size: 1
Cluster ID: 413109, Size: 2
Cluster ID: 409685, Size: 1
Cluster ID: 407213, Size: 1
Cluster ID: 406000, Size: 1
Cluster ID: 405138, Size: 1
Cluster ID: 403526, Size: 2
Cluster ID: 402080, Size: 1
Cluster ID: 400911, Size: 1
Cluster ID: 399972, Size: 1
Cluster ID: 399028, Size: 1
Cluster ID: 393995, Size: 2
Cluster ID: 393895, Size: 2
Cluster ID: 393597, Size: 2
Cluster ID: 390105, Size: 1
Cluster ID: 389678, Size: 2
Cluster ID: 388543, Size: 1
Cluster ID: 388169, Size: 1
Cluster ID: 387515, Size: 1
Cluster ID: 412179, Size: 1
Cluster ID: 386484, Size: 1
Cluster ID: 386301, Size: 1
Cluster ID: 383519, Size: 1
Cluster ID: 389772, Size: 1
Cluster ID: 383162, Size: 1
Cluster ID: 384927, Size: 1
Cluster ID: 399887, Size: 3
Cluster ID: 380712, Size: 1
Cluster ID: 377825, Size: 1
Cluster ID: 377240, Size: 1
Cluster ID: 397471, Size: 1
Cluster ID: 375715, Size: 1
Cluster ID: 372689, Size: 1
Cluster ID: 371364, Size: 1
Cluster ID: 381107, Size: 1
Cluster ID: 413525, Size: 1
Cluster ID: 400231, Size: 1
Cluster ID: 400864, Size: 2
Cluster ID: 397387, Size: 1
Cluster ID: 394009, Size: 1
Cluster ID: 394249, Size: 3
Cluster ID: 394142, Size: 1
Cluster ID: 387936, Size: 1
Cluster ID: 387460, Size: 2
Cluster ID: 387328, Size: 2
Cluster ID: 388648, Size: 2
Cluster ID: 385369, Size: 1
Cluster ID: 385229, Size: 1
Cluster ID: 386083, Size: 1
Cluster ID: 382355, Size: 1
Cluster ID: 381235, Size: 1
Cluster ID: 392108, Size: 1
Cluster ID: 378003, Size: 1
Cluster ID: 377773, Size: 1
Cluster ID: 392895, Size: 2
Cluster ID: 376665, Size: 1
Cluster ID: 376569, Size: 1
Cluster ID: 375615, Size: 1
Cluster ID: 374994, Size: 1
Cluster ID: 413055, Size: 2
Cluster ID: 383695, Size: 2
Cluster ID: 370354, Size: 1
Cluster ID: 370067, Size: 1
Cluster ID: 370048, Size: 1
Cluster ID: 369787, Size: 1
Cluster ID: 410318, Size: 2
Cluster ID: 411849, Size: 2
Cluster ID: 404064, Size: 1
Cluster ID: 398563, Size: 2
Cluster ID: 397029, Size: 2
Cluster ID: 396730, Size: 2
Cluster ID: 395519, Size: 2
Cluster ID: 394413, Size: 2
Cluster ID: 387905, Size: 1
